Complaint Number,Status,Date Entered,House Number,ZIP Code,House Street,BIN,Community Board,Special District,Complaint Category,Unit,Disposition Date,Disposition Code,Inspection Date,DOBRunDate
2250127,CLOSED,09/25/2017,941         ,10451    ,COURTLANDT AVENUE               ,2001815,203,   ,73,BRONX,12/11/2018,Y1,12/10/2018,12/12/2018 12:00:00 AM
2272943,CLOSED,12/11/2018,2118        ,10473    ,QUIMBY AVENUE                   ,2022880,209,   ,30,ERT  ,12/11/2018,Y1,12/11/2018,12/12/2018 12:00:00 AM
3501862,CLOSED,12/20/2014,208         ,11205    ,SKILLMAN STREET                 ,3055211,303,   ,30,ERT  ,12/11/2018,Y1,12/10/2018,12/12/2018 12:00:00 AM
4757572,CLOSED,12/14/2018,118-29      ,11412    ,201 PLACE                       ,4272124,412,   ,30,ERT  ,12/14/2018,Y1,12/14/2018,12/15/2018 12:00:00 AM
4757493,CLOSED,12/13/2018,45-14       ,11104    ,QUEENS BOULEVARD                ,4001953,402,   ,30,ERT  ,12/14/2018,Y1,12/13/2018,12/15/2018 12:00:00 AM
4757470,CLOSED,12/13/2018,45-02       ,11104    ,QUEENS BOULEVARD                ,4001960,402,   ,30,ERT  ,12/14/2018,Y1,12/13/2018,12/15/2018 12:00:00 AM
3678471,CLOSED,12/07/2018,512         ,11221    ,KOSCIUSZKO STREET               ,3398897,303,   ,4A,SPOPS,12/14/2018,Y1,12/13/2018,12/15/2018 12:00:00 AM
3678773,CLOSED,12/10/2018,1036        ,11210    ,EAST 43 STREET                  ,3215163,318,   ,29,BKLYN,12/15/2018,Y1,12/15/2018,12/16/2018 12:00:00 AM
4752639,CLOSED,10/25/2018,130-30      ,11436    ,146 STREET                      ,4262441,412,   ,45,QNS.,12/15/2018,Y1,12/14/2018,12/16/2018 12:00:00 AM
1497260,CLOSED,12/14/2018,200         ,10028    ,EAST 85 STREET                  ,1048756,108,   ,30,ERT  ,12/15/2018,Y1,12/14/2018,12/16/2018 12:00:00 AM
3658487,CLOSED,07/19/2018,1118        ,11219    ,65 STREET                       ,3142216,310,   ,45,BKLYN,12/18/2018,Y1,12/13/2018,12/19/2018 12:00:00 AM
2196801,CLOSED,04/07/2014,1931 GARAGE ,10453    ,HENNESSY PLACE                  ,2118487,205,   ,30,ERT  ,04/07/2014,Y1,04/05/2014,11/07/2018 12:00:00 AM
3528247,CLOSED,08/28/2015,1227        ,11219    ,47 STREET                       ,3396984,312,   ,30,ERT  ,08/28/2015,Y1,08/28/2015,11/07/2018 12:00:00 AM
4722870,CLOSED,02/15/2018,42-36       ,11101    ,12 STREET                       ,4005290,402,IBZ,30,ERT  ,07/12/2018,Y1,07/12/2018,11/07/2018 12:00:00 AM
3471237,CLOSED,03/01/2014,1427 GARAGE ,11230    ,EAST 12 STREET                  ,3369434,314,   ,73,ERT  ,03/03/2014,Y1,03/01/2014,11/07/2018 12:00:00 AM
5128178,CLOSED,06/07/2017,121 GARAGE  ,10307    ,MAIN STREET                     ,5163809,503,   ,30,ERT  ,06/09/2017,Y1,06/09/2017,11/07/2018 12:00:00 AM
2220293,CLOSED,12/11/2015,2094        ,10457    ,VALENTINE AVENUE                ,2013386,205,   ,30,ERT  ,12/11/2015,Y1,12/11/2015,11/07/2018 12:00:00 AM
2150077,CLOSED,09/11/2010,1080        ,10459    ,INTERVALE AVENUE                ,2005488,202,   ,30,ERT  ,09/11/2010,Y1,09/11/2010,11/07/2018 12:00:00 AM
3530913,CLOSED,09/21/2015,202         ,11206    ,SCHOLES STREET                  ,3338406,301,   ,4B,SEP  ,09/30/2015,Y1,09/17/2015,11/07/2018 12:00:00 AM
2188480,CLOSED,08/05/2013,720         ,10467    ,EAST 216 STREET                 ,2093555,212,   ,30,ERT  ,08/06/2013,Y1,08/06/2013,11/07/2018 12:00:00 AM
3660663,CLOSED,08/02/2018,1401        ,11216    ,DEAN STREET                     ,3030164,308,   ,45,BKLYN,08/17/2018,Y1,08/15/2018,11/07/2018 12:00:00 AM
2240898,CLOSED,03/23/2017,998         ,10459    ,TIFFANY STREET                  ,2005661,202,   ,73,BRONX,03/24/2017,Y1,03/23/2017,11/07/2018 12:00:00 AM
4700763,CLOSED,07/29/2017,87-17       ,11418    ,124 STREET                      ,4196117,409,   ,45,QNS.,09/18/2017,Y1,09/13/2017,11/07/2018 12:00:00 AM
3375761,CLOSED,04/28/2011,534         ,11221    ,KOSCIUSKO STREET                ,3043452,303,   ,29,BKLYN,05/09/2011,Y1,05/07/2011,11/07/2018 12:00:00 AM
3368046,CLOSED,02/08/2011,11          ,11211    ,CONSELYEA STREET                ,3068515,301,   ,30,BKLYN,02/08/2011,Y1,02/07/2011,11/07/2018 12:00:00 AM
4698899,CLOSED,07/17/2017,180-18      ,11432    ,JAMAICA AVENUE                  ,4541601,412,   ,30,ERT  ,07/17/2017,Y1,07/16/2017,11/07/2018 12:00:00 AM
3452253,CLOSED,08/02/2013,464         ,11215    ,1 STREET                        ,3025173,306,   ,30,ERT  ,08/05/2013,Y1,08/02/2013,11/07/2018 12:00:00 AM
2239961,CLOSED,03/01/2017,1348        ,10456    ,COLLEGE AVENUE                  ,2007188,204,   ,30,ERT  ,03/02/2017,Y1,03/01/2017,11/07/2018 12:00:00 AM
1419160,CLOSED,03/18/2016,1996        ,10029    ,SECOND AVENUE                   ,1800117,111,   ,73,BEST ,03/18/2016,Y1,03/18/2016,11/07/2018 12:00:00 AM
2187333,CLOSED,07/09/2013,1280        ,10474    ,RANDALL AVENUE                  ,2006820,202,IBZ,30,ERT  ,07/10/2013,Y1,07/10/2013,11/07/2018 12:00:00 AM
1246221,CLOSED,01/10/2009,420         ,10031    ,WEST  150 STREET                ,1061553,109,   ,30,ERT  ,01/10/2009,Y1,01/10/2009,11/07/2018 12:00:00 AM
4645000,CLOSED,02/24/2016,105-04      ,11419    ,133 STREET                      ,4205099,410,   ,45,QNS.,05/19/2016,Y1,04/29/2016,11/07/2018 12:00:00 AM
3652235,CLOSED,06/01/2018,1592        ,11213    ,FULTON STREET                   ,3047961,303,   ,30,ERT  ,06/01/2018,Y1,06/01/2018,11/07/2018 12:00:00 AM
3360828,CLOSED,11/12/2010,619         ,11215    ,   5 AVENUE                     ,3016450,307,   ,30,ERT  ,11/13/2010,Y1,11/12/2010,11/07/2018 12:00:00 AM
2246030,CLOSED,07/05/2017,117         ,10453    ,EAST 179 STREET                 ,2007673,205,   ,30,ERT  ,07/05/2017,Y1,07/05/2017,11/07/2018 12:00:00 AM
3582190,CLOSED,11/18/2016,898         ,11221    ,BUSHWICK AVENUE                 ,3074662,304,   ,37,ERT  ,11/19/2016,Y1,11/18/2016,11/07/2018 12:00:00 AM
4415888,CLOSED,09/18/2009,144-11      ,11367    ,  77 AVENUE                     ,4144321,408,   ,05,QNS.,09/18/2009,Y1,09/17/2009,11/07/2018 12:00:00 AM
3519873,CLOSED,06/23/2015,418         ,11216    ,TOMPKINS AVENUE                 ,3052762,303,   ,73,BKLYN,06/26/2015,Y1,06/23/2015,11/07/2018 12:00:00 AM
3553902,CLOSED,04/08/2016,536         ,11207    ,GEORGIA AVENUE                  ,3084998,305,   ,1Z,EXEC ,04/08/2016,Y1,04/05/2016,11/07/2018 12:00:00 AM
1427358,CLOSED,06/28/2016,172         ,10012    ,ELIZABETH STREET                ,1007135,102,   ,30,ERT  ,06/28/2016,Y1,06/28/2016,11/07/2018 12:00:00 AM
4693414,CLOSED,06/01/2017,32-03       ,11369    ,JUNCTION BOULEVARD              ,4034905,403,   ,30,ERT  ,06/01/2017,Y1,06/01/2017,11/07/2018 12:00:00 AM
5108985,CLOSED,03/19/2014,219         ,10304    ,CANAL STREET                    ,5013798,501,   ,30,ERT  ,03/19/2014,Y1,03/19/2014,11/07/2018 12:00:00 AM
4683891,CLOSED,03/05/2017,110-12      ,11419    ,LIBERTY AVENUE                  ,4202407,410,   ,30,ERT  ,03/05/2017,Y1,03/05/2017,11/07/2018 12:00:00 AM
2201368,CLOSED,07/31/2014,4523        ,10466    ,HILL AVENUE                     ,2072160,212,   ,30,ERT  ,07/31/2014,Y1,07/30/2014,11/07/2018 12:00:00 AM
2145162,CLOSED,05/12/2010,646         ,10474    ,COSTER STREET                   ,2006703,202,   ,73,BRONX,05/13/2010,Y1,05/11/2010,11/07/2018 12:00:00 AM
3319699,CLOSED,09/26/2009,4309        ,11219    ,  14 AVENUE                     ,3136239,312,   ,45,ERT  ,09/26/2009,Y1,09/24/2009,11/07/2018 12:00:00 AM
4602651,CLOSED,10/19/2014,18-30       ,11356    ,125 STREET                      ,4531834,407,   ,30,ERT  ,10/19/2014,Y1,10/18/2014,11/07/2018 12:00:00 AM
4522146,CLOSED,07/20/2012,89-51       ,11423    ,198 STREET                      ,4223190,412,   ,45,QNS.,08/07/2012,Y1,08/01/2012,11/07/2018 12:00:00 AM
4743253,CLOSED,08/09/2018,103-31      ,11417    ,105 STREET                      ,4201581,410,   ,45,QNS.,08/24/2018,Y1,08/23/2018,11/07/2018 12:00:00 AM
4399500,CLOSED,05/07/2009,104-59      ,11429    , 212 PLACE                      ,4239106,413,   ,30,QNS.,05/08/2009,Y1,05/07/2009,11/07/2018 12:00:00 AM
1411024,CLOSED,11/25/2015,247         ,10001    ,WEST 34 STREET                  ,1014171,105,   ,73,SCB  ,11/25/2015,Y1,11/25/2015,11/07/2018 12:00:00 AM
3601471,CLOSED,05/06/2017,306         ,11208    ,MONTAUK AVENUE                  ,3089915,305,   ,30,ERT  ,05/07/2017,Y1,05/06/2017,11/07/2018 12:00:00 AM
2241447,CLOSED,04/05/2017,416         ,10460    ,BRONX PARK AVENUE               ,2042480,206,   ,30,ERT  ,04/05/2017,Y1,04/05/2017,11/07/2018 12:00:00 AM
4468065,CLOSED,12/17/2010,44-37       ,11378    ,  55 AVENUE                     ,4432252,402,   ,30,ERT  ,12/20/2010,Y1,12/17/2010,11/07/2018 12:00:00 AM
3501739,CLOSED,12/18/2014,80          ,11205    ,SANDFORD STREET                 ,3826235,303,   ,5G,OBM  ,12/18/2014,Y1,12/18/2014,11/07/2018 12:00:00 AM
5105171,CLOSED,07/06/2013,39          ,10306    ,SEAFOAM STREET                  ,5056791,502,   ,30,ERT  ,07/12/2013,Y1,07/11/2013,11/07/2018 12:00:00 AM
2211336,CLOSED,05/11/2015,2685        ,10458    ,BRIGGS AVENUE                   ,2017016,207,   ,30,ERT  ,05/11/2015,Y1,05/11/2015,11/07/2018 12:00:00 AM
3643787,CLOSED,03/28/2018,1288        ,11208    ,SUTTER AVENUE                   ,3095691,305,   ,45,BKLYN,05/03/2018,Y1,05/03/2018,11/07/2018 12:00:00 AM
3488722,CLOSED,08/08/2014,1223 GARAGE ,11225    ,PRESIDENT STREET                ,3350949,309,   ,30,ERT  ,01/23/2017,Y1,08/09/2014,11/07/2018 12:00:00 AM
4418204,CLOSED,10/05/2009,517         ,11691    ,BEACH   43 STREET               ,4302172,414,   ,30,ERT  ,10/08/2009,Y1,10/05/2009,11/07/2018 12:00:00 AM
4436329,CLOSED,03/07/2010,137-48      ,11413    , 224 STREET                     ,4281992,413,   ,30,ERT  ,03/08/2010,Y1,03/06/2010,11/07/2018 12:00:00 AM
3499436,CLOSED,11/23/2014,83          ,11208    ,HEMLOCK STREET                  ,3091115,305,   ,30,ERT  ,11/23/2014,Y1,11/23/2014,11/07/2018 12:00:00 AM
3503028,CLOSED,01/06/2015,251         ,11207    ,COVERT STREET                   ,3079093,304,   ,37,ERT  ,01/07/2015,Y1,01/06/2015,11/07/2018 12:00:00 AM
3661439,CLOSED,08/08/2018,2517        ,11214    ,WEST 17 STREET                  ,3321104,313,   ,91,ERT  ,08/08/2018,Y1,08/08/2018,11/07/2018 12:00:00 AM
2171852,CLOSED,04/23/2012,812         ,10459    ,EAST 165 STREET                 ,2005017,203,   ,30,ERT  ,04/23/2012,Y1,04/23/2012,11/07/2018 12:00:00 AM
3599478,CLOSED,04/22/2017,986         ,11221    ,GATES AVENUE                    ,3332200,303,   ,30,ERT  ,04/22/2017,Y1,04/22/2017,11/07/2018 12:00:00 AM
4729252,CLOSED,04/16/2018,31-29       ,11369    ,100 STREET                      ,4041710,403,   ,1X,QNS.,04/18/2018,Y1,04/18/2018,11/07/2018 12:00:00 AM
2131688,CLOSED,06/22/2009,461         ,10451    ,EAST  159 STREET                ,2001489,203,   ,30,ERT  ,06/23/2009,Y1,06/21/2009,11/07/2018 12:00:00 AM
4732862,CLOSED,05/15/2018,33-60 GARAGE,11358    ,165 STREET                      ,4579702,407,   ,30,ERT  ,05/16/2018,Y1,05/16/2018,11/07/2018 12:00:00 AM
2260754,CLOSED,04/24/2018,2609        ,10458    ,MARION AVENUE                   ,2811814,207,   ,10,ERT  ,07/03/2018,Y1,07/02/2018,11/07/2018 12:00:00 AM
4683890,CLOSED,03/05/2017,110-10      ,11419    ,LIBERTY AVENUE                  ,4202406,410,   ,30,ERT  ,03/05/2017,Y1,03/05/2017,11/07/2018 12:00:00 AM
3656179,CLOSED,07/02/2018,217         ,11207    ,ARLINGTON AVENUE                ,3087042,305,   ,45,BKLYN,07/13/2018,Y1,07/11/2018,11/07/2018 12:00:00 AM
4753523,CLOSED,11/02/2018,143-21      ,11413    ,222 STREET                      ,4281187,413,   ,30,ERT  ,11/03/2018,Y1,11/02/2018,11/07/2018 12:00:00 AM
4725716,CLOSED,03/14/2018,48-01       ,11364    ,216 STREET                      ,4159006,411,   ,4A,SPOPS,03/30/2018,Y1,03/30/2018,11/07/2018 12:00:00 AM
3605719,CLOSED,06/08/2017,1892        ,11233    ,BERGEN STREET                   ,3039033,316,   ,30,ERT  ,06/08/2017,Y1,06/08/2017,11/07/2018 12:00:00 AM
2251066,CLOSED,10/12/2017,3080        ,10467    ,DECATUR AVENUE                  ,2017885,207,   ,30,ERT  ,10/12/2017,Y1,10/12/2017,11/07/2018 12:00:00 AM
3523765,CLOSED,07/23/2015,668         ,11216    ,NOSTRAND AVENUE                 ,3030669,308,   ,30,ERT  ,07/24/2015,Y1,07/24/2015,11/07/2018 12:00:00 AM
