Complaint Number,Status,Date Entered,House Number,ZIP Code,House Street,BIN,Community Board,Special District,Complaint Category,Unit,Disposition Date,Disposition Code,Inspection Date,DOBRunDate
3672150,CLOSED,10/19/2018,395         ,11207    ,LIBERTY AVENUE                  ,3083540,305,   ,1X,BKLYN,10/22/2018,Y1,10/19/2018,11/07/2018 12:00:00 AM
5132743,CLOSED,02/08/2018,387 GARAGE  ,10310    ,NORTH BURGHER AVENUE            ,5136697,501,   ,30,ERT  ,02/09/2018,Y1,02/08/2018,11/07/2018 12:00:00 AM
3425619,CLOSED,10/01/2012,503         ,11207    ,HEGEMAN AVENUE                  ,3096353,305,   ,73,ERT  ,10/01/2012,Y1,09/29/2010,11/07/2018 12:00:00 AM
4425559,CLOSED,11/17/2009,130-21      ,11436    , 148 STREET                     ,4262939,412,   ,45,QNS.,11/25/2009,Y1,11/23/2009,11/07/2018 12:00:00 AM
2240144,CLOSED,03/06/2017,4111        ,10466    ,BRONXWOOD AVENUE                ,2064055,212,   ,30,ERT  ,03/06/2017,Y1,03/06/2017,11/07/2018 12:00:00 AM
2220292,CLOSED,12/11/2015,2092        ,10457    ,VALENTINE AVENUE                ,2013344,205,   ,30,ERT  ,12/11/2015,Y1,12/11/2015,11/07/2018 12:00:00 AM
2220298,CLOSED,12/11/2015,2098        ,10457    ,VALENTINE AVENUE                ,2013346,205,   ,30,ERT  ,12/11/2015,Y1,12/11/2015,11/07/2018 12:00:00 AM
3401237,CLOSED,01/18/2012,425         ,11222    ,MEEKER AVENUE                   ,3329968,301,   ,73,BKLYN,01/18/2012,Y1,01/13/2012,11/07/2018 12:00:00 AM
5106206,CLOSED,09/01/2013,91          ,10304    ,OSGOOD AVENUE                   ,5014281,501,   ,30,ERT  ,09/01/2013,Y1,09/01/2013,11/07/2018 12:00:00 AM
4453544,CLOSED,08/04/2010,111-36      ,11433    , 178 STREET                     ,4219497,412,   ,71,ERT  ,08/05/2010,Y1,08/04/2010,11/07/2018 12:00:00 AM
4730748,CLOSED,04/29/2018,93-20       ,11428    ,211 STREET                      ,4224894,413,   ,30,ERT  ,04/29/2018,Y1,04/29/2018,11/07/2018 12:00:00 AM
3360405,CLOSED,11/09/2010,374         ,11208    ,CLEVELAND STREET                ,3088633,305,   ,1A,BKLYN,12/03/2010,Y1,12/03/2010,11/07/2018 12:00:00 AM
3585407,CLOSED,12/18/2016,152         ,11232    ,23 STREET                       ,3009499,307,   ,30,ERT  ,12/18/2016,Y1,12/18/2016,11/07/2018 12:00:00 AM
4531758,CLOSED,10/29/2012,85-15       ,11427    ,210 STREET                      ,4165282,411,   ,30,ERT  ,10/31/2012,Y1,10/30/2012,11/07/2018 12:00:00 AM
5085127,CLOSED,05/13/2010,1460        ,10302    ,FOREST AVENUE                   ,5106784,501,   ,30,ST.IS,05/13/2010,Y1,05/13/2010,11/07/2018 12:00:00 AM
1457367,CLOSED,08/09/2017,2465        ,10033    ,AMSTERDAM AVENUE                ,1800911,112,   ,73,MAN.,08/09/2017,Y1,08/09/2017,11/07/2018 12:00:00 AM
3633081,CLOSED,12/29/2017,63          ,11214    ,BAY 14 STREET                   ,3166422,311,   ,30,ERT  ,12/29/2017,Y1,12/29/2017,11/07/2018 12:00:00 AM
4561179,CLOSED,10/01/2013,150-08      ,11433    ,BEAVER ROAD                     ,4607442,412,IBZ,73,QNS.,10/01/2013,Y1,10/01/2013,11/07/2018 12:00:00 AM
3441425,CLOSED,04/15/2013,857         ,11221    ,LAFAYETTE AVENUE                ,3043368,303,   ,30,ERT  ,04/15/2013,Y1,04/15/2013,11/07/2018 12:00:00 AM
2142014,CLOSED,03/01/2010,965         ,10469    ,EAST  222 STREET                ,2064250,212,   ,73,BRONX,03/02/2010,Y1,03/01/2010,11/07/2018 12:00:00 AM
3493516,CLOSED,09/23/2014,1361        ,11233    ,ST MARKS AVENUE                 ,3035985,308,   ,30,ERT  ,09/23/2014,Y1,09/23/2014,11/07/2018 12:00:00 AM
3527779,CLOSED,08/25/2015,1102        ,11221    ,PUTNAM AVENUE                   ,3077131,304,   ,30,ERT  ,08/25/2015,Y1,08/25/2015,11/07/2018 12:00:00 AM
3380843,CLOSED,06/14/2011,234         ,11207    ,HINSDALE STREET                 ,3084024,305,IBZ,30,ERT  ,06/15/2011,Y1,06/14/2011,11/07/2018 12:00:00 AM
3552628,CLOSED,03/30/2016,1421        ,11237    ,DEKALB AVENUE                   ,3073578,304,   ,30,ERT  ,03/30/2016,Y1,03/30/2016,11/07/2018 12:00:00 AM
5131445,CLOSED,11/13/2017,654         ,10314    ,MANOR ROAD                      ,5018008,501,   ,30,ERT  ,11/13/2017,Y1,11/13/2017,11/07/2018 12:00:00 AM
4697653,CLOSED,07/06/2017,42-08       ,11355    ,UNION STREET                    ,4116930,407,   ,4A,SPOPS,08/04/2017,Y1,08/04/2017,11/07/2018 12:00:00 AM
4603954,CLOSED,11/04/2014,126-03      ,11420    ,116 AVENUE                      ,4252273,410,   ,30,ERT  ,11/04/2014,Y1,11/04/2014,11/07/2018 12:00:00 AM
4483990,CLOSED,06/13/2011,219-08      ,11413    , 138 ROAD                       ,4282126,413,   ,30,ERT  ,06/13/2011,Y1,06/13/2011,11/07/2018 12:00:00 AM
2191436,CLOSED,10/28/2013,2866        ,10458    ,VALENTINE AVENUE                ,2017077,207,   ,30,ERT  ,10/28/2013,Y1,10/27/2013,11/07/2018 12:00:00 AM
1282210,CLOSED,05/21/2010,247         ,10013    ,CANAL STREET                    ,1088325,102,   ,05,MAN.,05/24/2010,Y1,05/20/2010,11/07/2018 12:00:00 AM
1429135,CLOSED,07/25/2016,552         ,10033    ,WEST 182 STREET                 ,1089170,112,   ,05,ERT  ,07/25/2016,Y1,07/24/2016,11/07/2018 12:00:00 AM
4509975,CLOSED,03/18/2012,451         ,11692    ,BEACH 72 STREET                 ,4303235,414,   ,30,ERT  ,03/18/2012,Y1,03/18/2012,11/07/2018 12:00:00 AM
3349391,CLOSED,07/26/2010,861         ,11206    ,BROADWAY                        ,3326072,304,   ,73,BKLYN,08/03/2010,Y1,07/12/2010,11/07/2018 12:00:00 AM
2259849,CLOSED,04/07/2018,3531        ,10467    ,WHITE PLAINS ROAD               ,2057296,212,   ,31,BRONX,04/07/2018,Y1,04/06/2018,11/07/2018 12:00:00 AM
4669920,CLOSED,10/11/2016,111-58      ,11420    ,114 STREET                      ,4250256,410,   ,45,QNS.,06/20/2017,Y1,11/22/2016,11/07/2018 12:00:00 AM
2239955,CLOSED,03/01/2017,1342        ,10456    ,COLLEGE AVENUE                  ,2007186,204,   ,30,ERT  ,03/02/2017,Y1,03/01/2017,11/07/2018 12:00:00 AM
3517506,CLOSED,06/03/2015,820 GARAGE  ,11208    ,ELTON STREET                    ,3353203,305,   ,54,BKLYN,07/06/2015,Y1,07/06/2015,11/07/2018 12:00:00 AM
2164048,CLOSED,09/10/2011,3400        ,10475    ,WRIGHT AVENUE                   ,2115638,212,   ,29,BRONX,04/14/2017,Y1,04/12/2017,11/07/2018 12:00:00 AM
2198014,CLOSED,05/07/2014,2040        ,10457    ,WASHINGTON AVENUE               ,2011472,206,   ,29,BRONX,05/08/2014,Y1,05/07/2014,11/07/2018 12:00:00 AM
3348099,CLOSED,07/12/2010,10          ,11206    ,LOCUST STREET                   ,3326072,304,   ,30,ERT  ,07/13/2010,Y1,07/12/2010,11/07/2018 12:00:00 AM
4423547,CLOSED,11/04/2009,139-19      ,11413    , 230 STREET                     ,4283499,413,   ,30,ERT  ,11/04/2009,Y1,11/04/2009,11/07/2018 12:00:00 AM
4411744,CLOSED,08/14/2009,10-08       ,11101    ,  44 DRIVE                      ,4000433,402,   ,73,QNS.,08/19/2009,Y1,08/14/2009,11/07/2018 12:00:00 AM
3638442,CLOSED,02/13/2018,225         ,11233    ,MACDONOUGH STREET               ,3046780,303,   ,30,ERT  ,02/13/2018,Y1,02/13/2018,11/07/2018 12:00:00 AM
4471071,CLOSED,01/29/2011,105-07      ,11419    , 131 STREET                     ,4205064,410,   ,2B,ERT  ,01/31/2011,Y1,01/29/2011,11/07/2018 12:00:00 AM
3432556,CLOSED,12/24/2012,646         ,11226    ,ROGERS AVENUE                   ,3116015,309,   ,30,ERT  ,12/27/2012,Y1,12/24/2012,11/07/2018 12:00:00 AM
4468593,CLOSED,12/28/2010,216-22      ,11411    , 115 COURT                      ,4243148,413,   ,30,QNS.,03/03/2014,Y1,02/28/2014,11/07/2018 12:00:00 AM
2192204,CLOSED,11/19/2013,2762        ,10468    ,MORRIS AVENUE                   ,2017523,207,   ,30,ERT  ,11/20/2013,Y1,11/19/2013,11/07/2018 12:00:00 AM
2191120,CLOSED,10/18/2013,2860        ,10458    ,VALENTINE AVENUE                ,2017075,207,   ,45,ERT  ,10/18/2013,Y1,10/18/2013,11/07/2018 12:00:00 AM
2192547,CLOSED,11/27/2013,2123        ,10457    ,CLINTON AVENUE                  ,2803088,206,   ,03,ERT  ,11/27/2013,Y1,11/27/2013,11/07/2018 12:00:00 AM
4450542,CLOSED,07/09/2010,137-23      ,11413    ,BEDELL STREET                   ,4280143,412,   ,45,QNS.,06/27/2016,Y1,06/01/2016,11/07/2018 12:00:00 AM
3624409,CLOSED,10/21/2017,1525        ,11224    ,MERMAID AVENUE                  ,3189097,313,   ,30,ERT  ,10/22/2017,Y1,10/21/2017,11/07/2018 12:00:00 AM
3630770,CLOSED,12/09/2017,407         ,11206    ,JOHNSON AVENUE                  ,3340924,301,   ,45,ERT  ,12/09/2017,Y1,12/09/2017,11/07/2018 12:00:00 AM
3354821,CLOSED,09/14/2010,249         ,11216    ,PUTNAM AVENUE                   ,3051601,303,   ,45,ERT  ,09/15/2010,Y1,09/14/2010,11/07/2018 12:00:00 AM
4678879,CLOSED,01/13/2017,32-35       ,11370    ,82 STREET                       ,4034511,403,   ,45,QNS.,01/13/2017,Y1,01/13/2017,11/07/2018 12:00:00 AM
3484280,CLOSED,06/30/2014,335         ,11212    ,ROCKAWAY AVENUE                 ,3326571,316,   ,73,BKLYN,06/30/2014,Y1,06/30/2014,11/07/2018 12:00:00 AM
3481343,CLOSED,06/04/2014,446         ,11205    ,PARK AVENUE                     ,3823731,303,   ,73,BKLYN,06/04/2014,Y1,06/03/2014,11/07/2018 12:00:00 AM
5070820,CLOSED,04/17/2008,55          ,10305    ,WATERVIEW COURT                 ,5129906,501,   ,30,ST.IS,04/17/2008,Y1,04/17/2008,11/07/2018 12:00:00 AM
3542995,CLOSED,01/07/2016,2226        ,11229    ,EAST 15 STREET                  ,3200724,315,   ,30,ERT  ,01/07/2016,Y1,01/07/2016,11/07/2018 12:00:00 AM
4579372,CLOSED,03/05/2014,229-28      ,11411    ,LINDEN BOULEVARD                ,4274626,413,   ,55,QNS.,12/30/2017,Y1,12/29/2017,11/07/2018 12:00:00 AM
4618623,CLOSED,05/14/2015,104-45      ,11418    ,88 AVENUE                       ,4194307,409,   ,2B,QNS.,05/15/2015,Y1,05/14/2015,11/07/2018 12:00:00 AM
4609937,CLOSED,01/24/2015,30-45       ,11103    ,STEINWAY STREET                 ,4011245,401,   ,30,ERT  ,01/24/2015,Y1,01/24/2015,11/07/2018 12:00:00 AM
3654452,CLOSED,06/19/2018,113         ,11222    ,JAVA STREET                     ,3064453,301,   ,30,ERT  ,06/29/2018,Y1,06/29/2018,11/07/2018 12:00:00 AM
4552519,CLOSED,06/28/2013,90-02       ,11693    ,ROCKAWAY BEACH BOULEVARD        ,4448992,414,   ,73,QNS.,06/28/2013,Y1,06/28/2013,11/07/2018 12:00:00 AM
2141587,CLOSED,02/17/2010,1391        ,10456    ,CLINTON AVENUE                  ,2009772,203,   ,45,BRONX,02/17/2010,Y1,02/14/2010,11/07/2018 12:00:00 AM
3480080,CLOSED,05/25/2014,4317 GARAGE ,11234    ,AVENUE M                        ,3375896,318,   ,45,ERT  ,05/27/2014,Y1,05/25/2014,11/07/2018 12:00:00 AM
4604469,CLOSED,11/10/2014,139-11 GAR  ,11413    ,SPRINGFIELD BOULEVARD           ,4513619,413,   ,30,ERT  ,11/10/2014,Y1,11/10/2014,11/07/2018 12:00:00 AM
4354242,CLOSED,05/20/2008,111-39      ,11433    , 180 STREET                     ,4219771,412,   ,45,QNS.,05/22/2008,Y1,05/22/2008,11/07/2018 12:00:00 AM
3594138,CLOSED,03/05/2017,241         ,11233    ,ROCKAWAY AVENUE                 ,3038945,316,   ,30,ERT  ,03/05/2017,Y1,03/05/2017,11/07/2018 12:00:00 AM
4395635,CLOSED,04/06/2009,126-55      ,11368    ,WILLETS POINT BOULEVARD         ,4568026,407,   ,05,QNS.,04/07/2009,Y1,04/02/2009,11/07/2018 12:00:00 AM
3462337,CLOSED,11/15/2013,165         ,11231    ,WEST 9 STREET                   ,3394375,306,   ,66,PLUMB,11/15/2013,Y1,11/07/2013,11/07/2018 12:00:00 AM
2191135,CLOSED,10/18/2013,2860        ,10458    ,VALENTINE AVENUE                ,2017075,207,   ,37,ERT  ,10/18/2013,Y1,10/18/2013,11/07/2018 12:00:00 AM
5110482,CLOSED,06/06/2014,201         ,10305    ,CHESTNUT AVENUE                 ,5043829,501,   ,30,ERT  ,06/06/2014,Y1,06/05/2014,11/07/2018 12:00:00 AM
4695022,CLOSED,06/15/2017,116-34      ,11434    ,166 STREET                      ,4267407,412,   ,37,ERT  ,06/15/2017,Y1,06/15/2017,11/07/2018 12:00:00 AM
3650613,CLOSED,05/19/2018,246         ,11216    ,MONROE STREET                   ,3051380,303,   ,4A,SPOPS,06/06/2018,Y1,06/06/2018,11/07/2018 12:00:00 AM
3510478,CLOSED,04/03/2015,2139        ,11229    ,EAST 16 STREET                  ,3199647,315,   ,30,ERT  ,04/03/2015,Y1,04/03/2015,11/07/2018 12:00:00 AM
4593879,CLOSED,07/15/2014,104-03 GAR  ,11412    ,196 STREET                      ,4504722,412,   ,30,ERT  ,07/16/2014,Y1,07/16/2014,11/07/2018 12:00:00 AM
5089143,CLOSED,01/10/2011,2946        ,10303    ,RICHMOND TERRACE                ,5027701,501,   ,30,ST.IS,01/11/2011,Y1,01/10/2011,11/07/2018 12:00:00 AM
4613442,CLOSED,03/18/2015,91-27       ,11421    ,90 STREET                       ,4186308,409,   ,30,ERT  ,03/19/2015,Y1,03/19/2015,11/07/2018 12:00:00 AM
5132449,CLOSED,01/19/2018,238         ,10307    ,MAIN STREET                     ,5089303,503,   ,1X,ST.IS,01/23/2018,Y1,01/22/2018,11/07/2018 12:00:00 AM
3654846,CLOSED,06/22/2018,172         ,11216    ,MADISON STREET                  ,3388238,303,   ,30,ERT  ,06/24/2018,Y1,06/24/2018,11/07/2018 12:00:00 AM
3472831,CLOSED,03/18/2014,433         ,11215    ,CARROLL STREET                  ,3007514,306,   ,5C,BOILR,03/18/2014,Y1,03/18/2014,11/07/2018 12:00:00 AM
4523474,CLOSED,08/03/2012,117-24      ,11412    ,200 STREET                      ,4271792,412,   ,45,ERT  ,08/07/2012,Y1,08/03/2012,11/07/2018 12:00:00 AM
4543720,CLOSED,03/22/2013,91-12       ,11421    ,PARK LANE SOUTH                 ,4182363,409,   ,30,ERT  ,03/22/2013,Y1,03/22/2013,11/07/2018 12:00:00 AM
2228138,CLOSED,06/13/2016,1491        ,10452    ,JEROME AVENUE                   ,2008314,204,   ,29,BRONX,08/07/2016,Y1,08/07/2016,11/07/2018 12:00:00 AM
2247951,CLOSED,08/11/2017,328         ,10454    ,JACKSON AVENUE                  ,2003838,201,   ,1Z,EXEC ,08/12/2017,Y1,08/11/2017,11/07/2018 12:00:00 AM
2195014,CLOSED,02/14/2014,502 GARAGE  ,10473    ,TAYLOR AVENUE                   ,2092617,209,   ,30,ERT  ,02/19/2014,Y1,02/18/2014,11/07/2018 12:00:00 AM
4676078,CLOSED,12/12/2016,113-65      ,11429    ,SPRINGFIELD BOULEVARD           ,4242123,413,   ,30,ERT  ,12/12/2016,Y1,12/12/2016,11/07/2018 12:00:00 AM
3469121,CLOSED,02/05/2014,24          ,11206    ,GRATTAN STREET                  ,3397242,301,   ,30,ERT  ,02/05/2014,Y1,02/05/2014,11/07/2018 12:00:00 AM
3614354,CLOSED,08/10/2017,1347        ,11216    ,PACIFIC STREET                  ,3029804,308,   ,30,ERT  ,08/10/2017,Y1,08/10/2017,11/07/2018 12:00:00 AM
3644838,CLOSED,04/05/2018,155 GARAGE  ,11223    ,AVENUE V                        ,3371040,315,   ,10,ERT  ,04/06/2018,Y1,04/06/2018,11/07/2018 12:00:00 AM
4661984,CLOSED,08/05/2016,150-12 GAR  ,11357    ,WILLETS POINT BOULEVARD         ,4482231,407,   ,30,ERT  ,08/05/2016,Y1,08/03/2016,11/07/2018 12:00:00 AM
4665767,CLOSED,09/06/2016,50-15       ,11104    ,41 STREET                       ,4002226,402,   ,30,ERT  ,09/06/2016,Y1,09/06/2016,11/07/2018 12:00:00 AM
5136552,CLOSED,08/16/2018,113 GARAGE  ,10302    ,LEXINGTON AVENUE                ,5160571,501,   ,30,ERT  ,08/16/2018,Y1,08/16/2018,11/07/2018 12:00:00 AM
3621073,CLOSED,09/27/2017,104         ,11213    ,KINGSTON AVENUE                 ,3030479,308,   ,45,BKLYN,09/28/2017,Y1,09/27/2017,11/07/2018 12:00:00 AM
1345108,CLOSED,03/18/2013,140         ,10038    ,FULTON STREET                   ,1001225,101,   ,30,ERT  ,03/18/2013,Y1,03/18/2013,11/07/2018 12:00:00 AM
4639459,CLOSED,12/12/2015,231-13      ,11413    ,MERRICK BOULEVARD               ,4279450,413,   ,30,ERT  ,12/13/2015,Y1,12/12/2015,11/07/2018 12:00:00 AM
2180253,CLOSED,12/17/2012,603A        ,10455    ,JACKSON AVENUE                  ,2091319,201,   ,30,ERT  ,12/17/2012,Y1,12/16/2012,11/07/2018 12:00:00 AM
3660104,CLOSED,07/30/2018,735         ,11221    ,BUSHWICK AVENUE                 ,3073370,304,   ,45,BKLYN,09/13/2018,Y1,09/11/2018,11/07/2018 12:00:00 AM
3509230,CLOSED,03/21/2015,3371        ,11210    ,BEDFORD AVENUE                  ,3209344,314,   ,30,OBM  ,03/23/2015,Y1,03/21/2015,11/07/2018 12:00:00 AM
2137861,CLOSED,11/12/2009,663         ,10464    ,CITY ISLAND AVENUE              ,2098205,210,   ,31,BRONX,11/12/2009,Y1,11/12/2009,11/07/2018 12:00:00 AM
2250127,CLOSED,09/25/2017,941         ,10451    ,COURTLANDT AVENUE               ,2001815,203,   ,73,BRONX,09/25/2017,Y1,09/21/2017,11/07/2018 12:00:00 AM
2264420,CLOSED,07/02/2018,943         ,10456    ,COLLEGE AVENUE                  ,2002008,204,   ,30,INTDM,07/03/2018,Y1,07/02/2018,11/07/2018 12:00:00 AM
3669385,CLOSED,09/28/2018,198         ,11212    ,GRAFTON STREET                  ,3081519,316,   ,1X,BKLYN,10/02/2018,Y1,09/28/2018,11/07/2018 12:00:00 AM
3674052,CLOSED,11/02/2018,133         ,11205    ,CARLTON AVENUE                  ,3058038,302,   ,30,ERT  ,11/02/2018,Y1,11/02/2018,11/07/2018 12:00:00 AM
3672153,CLOSED,10/19/2018,399         ,11207    ,LIBERTY AVENUE                  ,3083538,305,   ,73,BKLYN,10/22/2018,Y1,10/19/2018,11/07/2018 12:00:00 AM
2208817,CLOSED,03/04/2015,3050 GARAGE ,10467    ,BARKER AVENUE                   ,2106705,212,   ,30,ERT  ,03/04/2015,Y1,04/03/2014,11/07/2018 12:00:00 AM
3640920,CLOSED,03/05/2018,830         ,11233    ,HERKIMER STREET                 ,3048200,303,   ,1Z,EXEC ,03/05/2018,Y1,03/02/2018,11/07/2018 12:00:00 AM
4724090,CLOSED,02/27/2018,47-44       ,11104    ,39 PLACE                        ,4002793,402,   ,71,QNS.,03/07/2018,Y1,03/07/2018,11/07/2018 12:00:00 AM
4645449,CLOSED,02/29/2016,116-12      ,11411    ,217 STREET                      ,4244212,413,   ,30,ERT  ,02/29/2016,Y1,02/29/2016,11/07/2018 12:00:00 AM
3592274,CLOSED,02/19/2017,835         ,11207    ,BARBEY STREET                   ,3097541,305,   ,30,ERT  ,02/20/2017,Y1,02/19/2017,11/07/2018 12:00:00 AM
3656234,CLOSED,07/03/2018,1109        ,11219    ,57 STREET                       ,3140049,312,   ,30,ERT  ,07/03/2018,Y1,07/03/2018,11/07/2018 12:00:00 AM
3631858,CLOSED,12/18/2017,1946        ,11229    ,EAST 14 STREET                  ,3196743,315,   ,30,ERT  ,12/18/2017,Y1,12/18/2017,11/07/2018 12:00:00 AM
3501086,CLOSED,12/12/2014,161         ,11207    ,HENDRIX STREET                  ,3342241,305,   ,30,ERT  ,12/12/2014,Y1,12/12/2014,11/07/2018 12:00:00 AM
4471293,CLOSED,02/02/2011,20-50       ,11691    ,NAMEOKE STREET                  ,4297862,414,   ,30,QNS.,02/02/2011,Y1,02/02/2011,11/07/2018 12:00:00 AM
3469338,CLOSED,02/07/2014,21          ,11221    ,STANHOPE STREET                 ,3074054,304,   ,45,ERT  ,02/08/2014,Y1,02/07/2014,11/07/2018 12:00:00 AM
4479317,CLOSED,04/28/2011,109-21      ,11429    ,SPRINGFIELD BOULEVARD           ,4241311,413,   ,30,ERT  ,04/29/2011,Y1,04/28/2011,11/07/2018 12:00:00 AM
3509042,CLOSED,03/19/2015,726         ,11221    ,MADISON STREET                  ,3045257,303,   ,45,BKLYN,03/19/2015,Y1,03/18/2015,11/07/2018 12:00:00 AM
4750374,CLOSED,10/05/2018,219 34      ,11428    ,JAMAICA AVENUE                  ,4231215,413,   ,73,QNS.,10/05/2018,Y1,10/05/2018,11/07/2018 12:00:00 AM
3361280,CLOSED,11/17/2010,33          ,11208    ,NICHOLS AVENUE                  ,3091271,305,   ,73,BKLYN,11/18/2010,Y1,11/17/2010,11/07/2018 12:00:00 AM
4660322,CLOSED,07/22/2016,18-11       ,11356    ,COLLEGE POINT BOULEVARD         ,4098833,407,   ,30,ERT  ,07/22/2016,Y1,07/22/2016,11/07/2018 12:00:00 AM
1392010,CLOSED,03/26/2015,119         ,10003    ,2 AVENUE                        ,1006683,103,   ,30,ERT  ,03/26/2015,Y1,03/26/2015,11/07/2018 12:00:00 AM
4735647,CLOSED,06/07/2018,103-10 GAR  ,11368    ,51 AVENUE                       ,4447720,404,   ,30,ERT  ,06/07/2018,Y1,06/07/2018,11/07/2018 12:00:00 AM
5132448,CLOSED,01/19/2018,238         ,10307    ,MAIN STREET                     ,5089303,503,   ,73,ST.IS,01/19/2018,Y1,01/19/2018,11/07/2018 12:00:00 AM
4638889,CLOSED,12/07/2015,83-33 GARAGE,11373    ,BRITTON AVENUE                  ,4543950,404,   ,30,ERT  ,12/08/2015,Y1,12/07/2015,11/07/2018 12:00:00 AM
3491799,CLOSED,09/08/2014,684         ,11233    ,HALSEY STREET                   ,3046584,303,   ,30,ERT  ,09/08/2014,Y1,09/07/2014,11/07/2018 12:00:00 AM
1372743,CLOSED,06/02/2014,215 REAR    ,10001    ,WEST 28 STREET                  ,1080552,105,   ,73,MAN.,06/02/2014,Y1,05/29/2014,11/07/2018 12:00:00 AM
4718864,CLOSED,01/09/2018,173-47 GAR  ,11433    ,105 AVENUE                      ,4584308,412,   ,30,ERT  ,01/10/2018,Y1,01/10/2018,11/07/2018 12:00:00 AM
3655397,CLOSED,06/26/2018,2905        ,11210    ,FARRAGUT ROAD                   ,3121026,314,   ,30,ERT  ,06/27/2018,Y1,06/26/2018,11/07/2018 12:00:00 AM
2262641,CLOSED,05/31/2018,1775 GARAGE ,10457    ,WEEKS AVENUE                    ,2117770,205,   ,30,ERT  ,06/01/2018,Y1,05/31/2018,11/07/2018 12:00:00 AM
2195660,CLOSED,03/06/2014,783         ,10456    ,EAST 163 STREET                 ,2004859,203,   ,30,ERT  ,03/06/2014,Y1,03/06/2014,11/07/2018 12:00:00 AM
5110921,CLOSED,06/25/2014,1992        ,10306    ,HYLAN BOULEVARD                 ,5113499,502,   ,73,ERT  ,06/26/2014,Y1,06/25/2014,11/07/2018 12:00:00 AM
3656191,CLOSED,07/02/2018,9412        ,11209    ,4 AVENUE                        ,3155498,310,   ,30,ERT  ,07/29/2018,Y1,07/02/2018,11/07/2018 12:00:00 AM
3289079,CLOSED,12/08/2008,433         ,11221    ,PULASKI STREET                  ,3043152,303,   ,56,BOILR,12/08/2008,Y1,12/08/2008,11/07/2018 12:00:00 AM
3624398,CLOSED,10/21/2017,1527        ,11224    ,MERMAID AVENUE                  ,3189097,313,   ,30,ERT  ,10/22/2017,Y1,10/21/2017,11/07/2018 12:00:00 AM
4718432,CLOSED,01/03/2018,80-02       ,11427    ,209 STREET                      ,4164530,411,   ,45,QNS.,01/05/2018,Y1,01/03/2018,11/07/2018 12:00:00 AM
1401357,CLOSED,07/23/2015,30          ,10035    ,EAST 126 STREET                 ,1054062,111,   ,73,MAN.,07/23/2015,Y1,07/23/2015,11/07/2018 12:00:00 AM
3596194,CLOSED,03/24/2017,99 A        ,11233    ,SOMERS STREET                   ,3041919,316,   ,73,BKLYN,03/24/2017,Y1,03/24/2017,11/07/2018 12:00:00 AM
2195942,CLOSED,03/15/2014,1357 GARAGE ,10462    ,ODELL STREET                    ,2105208,209,   ,30,ERT  ,03/15/2014,Y1,03/15/2014,11/07/2018 12:00:00 AM
5117548,CLOSED,09/13/2015,38          ,10303    ,GRANDVIEW AVENUE                ,5028215,501,   ,30,ERT  ,09/14/2015,Y1,09/13/2015,11/07/2018 12:00:00 AM
3370444,CLOSED,03/08/2011,222         ,11205    ,WALWORTH STREET                 ,3049009,303,   ,30,ERT  ,03/09/2011,Y1,03/08/2011,11/07/2018 12:00:00 AM
1442576,CLOSED,02/02/2017,350         ,10019    ,WEST 52 STREET                  ,1025217,104,   ,73,MAN.,02/02/2017,Y1,02/02/2017,11/07/2018 12:00:00 AM
3624629,CLOSED,10/23/2017,1218        ,11207    ,HALSEY STREET                   ,3078866,304,   ,30,ERT  ,10/23/2017,Y1,10/23/2017,11/07/2018 12:00:00 AM
3557131,CLOSED,05/05/2016,345         ,11201    ,ATLANTIC AVENUE                 ,3331331,302,   ,91,ERT  ,05/06/2016,Y1,05/05/2016,11/07/2018 12:00:00 AM
2231183,CLOSED,08/12/2016,267         ,10458    ,EAST 202 STREET                 ,2017261,207,   ,30,ERT  ,08/15/2016,Y1,08/15/2016,11/07/2018 12:00:00 AM
3431485,CLOSED,12/10/2012,18          ,11207    ,HINSDALE STREET                 ,3083436,305,IBZ,30,ERT  ,12/10/2012,Y1,12/10/2012,11/07/2018 12:00:00 AM
3640896,CLOSED,03/05/2018,665         ,11221    ,JEFFERSON AVENUE                ,3045517,303,   ,30,ERT  ,03/05/2018,Y1,03/05/2018,11/07/2018 12:00:00 AM
3585409,CLOSED,12/18/2016,154         ,11232    ,23 STREET                       ,3009500,307,   ,30,ERT  ,12/18/2016,Y1,12/18/2016,11/07/2018 12:00:00 AM
3659331,CLOSED,07/25/2018,249         ,11207    ,HENDRIX STREET                  ,3401664,305,   ,5A,BKLYN,08/04/2018,Y1,08/03/2018,11/07/2018 12:00:00 AM
2201120,CLOSED,07/25/2014,862         ,10474    ,HUNTS POINT AVENUE              ,2006434,202,   ,30,ERT  ,07/25/2014,Y1,07/25/2014,11/07/2018 12:00:00 AM
2168546,CLOSED,01/18/2012,3271-3273   ,10456    ,3 AVENUE                        ,2092202,203,   ,73,BRONX,01/19/2012,Y1,01/13/2012,11/07/2018 12:00:00 AM
3587254,CLOSED,01/04/2017,189         ,11207    ,MOFFAT STREET                   ,3080039,304,   ,30,ERT  ,01/04/2017,Y1,01/04/2017,11/07/2018 12:00:00 AM
4602373,CLOSED,10/15/2014,28-18       ,11691    ,MOTT AVENUE                     ,4299762,414,   ,30,ERT  ,10/15/2014,Y1,10/15/2014,11/07/2018 12:00:00 AM
